,modern,original
0,I have half a mind to hit you before you speak again.,I have a mind to strike thee ere thou speak’st.
1,"But if Antony is alive, healthy, friendly with Caesar, and not Caesar’s prisoner, I’ll shower you with gold and pearls.","Yet if thou say Antony lives, is well, Or friends with Caesar, or not captive to him, I’ll set thee in a shower of gold and hail Rich pearls upon thee."
2,"Madam, he’s well.","Madam, he’s well."
3,That’s well spoken.,Well said.
4,And he’s friendly with Caesar.,And friends with Caesar.
5,You are an honest man.,Th’ art an honest man.
6,Caesar and he are better friends than ever.,Caesar and he are greater friends than ever.
7,I’m going to make you a rich man.,Make thee a fortune from me.
8,"But yet, madam— I don’t like the sound of “but yet.” It reverses all the good that came before it.","But yet, madam— I do not like “But yet.” It does allay The good precedence."
9,"Damn those words, “but yet!” “But yet” is like a jailer about to bring out some horrible criminal.",Fie upon “But yet.” “But yet” is as a jailer to bring forth Some monstrous malefactor.
10,"Please, my friend, give me all the news, both good and bad, at the same time.","Prithee, friend, Pour out the pack of matter to mine ear, The good and bad together."
11,"You say he’s friendly with Caesar, healthy, and free.","He’s friends with Caesar, In state of health, thou say’st, and, thou say’st, free."
12,"I didn’t say free, madam.","Free, madam, no."
13,"No, I didn’t say that.",I made no such report.
14,He’s bound to Octavia.,He’s bound unto Octavia.
15,For what favor?,For what good turn?
16,For the favor of sleeping in her bed.,For the best turn i’ th’ bed.
17,"I’m sick, Charmian.","I am pale, Charmian."
18,"He’s married to Octavia, madam.","Madam, he’s married to Octavia."
19,May you die of the worst disease!,The most infectious pestilence upon thee!
20,"Good madam, be patient.","Good madam, patience."
21,What did you say to me?,What say you?
22,"Get out, you horrible bastard, or I’ll gouge out your eyes.","Hence, horrible villain, or I’ll spurn thine eyes Like balls before me!"
23,I’ll scalp you.,I’ll unhair thy head!
24,"I’ll have you whipped with wire and soaked in brine like a pickle, making your pain linger.","Thou shalt be whipped with wire and stewed in brine, Smarting in ling’ring pickle!"
25,"If you say it isn’t true, I’ll give you a province and make you rich.","Say ’tis not so, a province I will give thee And make thy fortunes proud."
26,The blows I gave you already will make up for your upsetting me.,"The blow thou hadst Shall make thy peace for moving me to rage, And I will boot thee with what gift beside Thy modesty can beg."
27,"He’s married, madam.","He’s married, madam."
28,"Rogue, you’ve lived too long!","Rogue, thou hast lived too long."
29,"No way, then, I’ll run.","Nay then, I’ll run."
30,"What’s the matter with you, madam?","What mean you, madam?"
31,I haven’t done anything to you.,I have made no fault.
32,"Good madam, restrain yourself.","Good madam, keep yourself within yourself."
33,The man hasn’t done anything wrong.,The man is innocent.
34,Even innocents cannot always escape disaster.,Some innocents ’scape not the thunderbolt.
35,May Egypt drown in the Nile and all good creatures turn into poisonous snakes.,"Melt Egypt into Nile, and kindly creatures Turn all to serpents."
36,Call that servant back.,Call the slave again.
37,"Even though I’m mad, I won’t bite him.","Though I am mad, I will not bite him."
38,Call him!,Call!
39,He’s afraid to come in.,He is afeard to come.
40,I won’t hurt him.,I will not hurt him.
41,"My hands are tainted if they hit an inferior, especially since I myself am the cause of my own distress.","These hands do lack nobility that they strike A meaner than myself, since I myself Have given myself the cause."
42,"Come here, sir.","Come hither, sir."
43,"It may be honest, but it’s never wise to bring bad news.","Though it be honest, it is never good To bring bad news."
44,"You can give good news in many ways, but let bad news interpret itself as you tell it.","Give to a gracious message An host of tongues, but let ill tidings tell Themselves when they be felt."
45,I’ve only done my duty.,I have done my duty.
46,Is he married?,Is he married?
47,May the gods destroy you!,The gods confound thee!
48,Do you maintain the same story?,Dost thou hold there still?
49,"Do you want me to lie, madam?","Should I lie, madam?"
50,"Go, get out!","Go, get thee hence."
51,Even if you were as handsome as  I beg your highness’ pardon.,I crave your highness’ pardon.
52,Is he really married?,He is married?
53,Please don’t be offended that I don’t want to offend you any more.,Take no offense that I would not offend you.
54,It’s not fair to punish me for something you make me do.,To punish me for what you make me do Seems much unequal.
55,He’s married to Octavia.,He’s married to Octavia.
56,It’s too bad that Antony’s fault should make you look like a jerk.,"Oh, that his fault should make a knave of thee, That art not what th’ art sure of!"
57,Go away.,Get thee hence.
58,The merchandise you bring from Rome is too expensive for me.,The merchandise which thou hast brought from Rome Are all too dear for me.
59,Let it stay in your inventory until it bankrupts you.,Lie they upon thy hand And be undone by ’em!
60,"Be patient, your highness.","Good your highness, patience."
61,"When I have praised Antony, I’ve disparaged Caesar.","In praising Antony, I have dispraised Caesar."
62,"Many times, madam.","Many times, madam."
63,I’m being repaid for that now.,I am paid for ’t now.
64,Help me out of here.,Lead me from hence.
65,"Oh, Iras, Charmian!","O Iras, Charmian!"
66,It doesn’t matter.,"Tis no matter.— Go to the fellow, good Alexas."
67,How old is she?,"Bid him Report the feature of Octavia: her years, Her inclination."
68,Don’t let him leave out the color of her hair.,Let him not leave out The color of her hair.
69,Bring me his answers quickly.,Bring me word how tall she is.
70,Even though half of him is like a,Lead me to my chamber.
71,"Lord Alexas, sweet Alexas, most anything Alexas, almost the most consummate Alexas, where’s the fortuneteller you recommended so highly to the Queen?","Lord Alexas, sweet Alexas, most anything Alexas, almost most absolute Alexas, where’s the soothsayer that you praised so to th’ Queen?"
72,"Oh, I only wish I knew the name of that husband you said he predicted will have a cheating wife!","Oh that I knew this husband, which, you say, must charge his horns with garlands!"
73,I don’t make fortunes; I only see them.,"I make not, but foresee."
74,Then see a good one for me.,"Pray, then, foresee me one."
75,"No, he means you’ll use makeup when you’re old.","No, you shall paint when you are old."
76,May my wrinkles forbid that!,Wrinkles forbid!
77,Don’t joke about his predictions.,Vex not his prescience.
78,Pay attention.,Be attentive.
79,Quiet!,Hush!
80,You will love more than you are loved.,You shall be more beloving than beloved.
81,"It’s proper that we speak first, which is why we sent our proposals ahead of us for your consideration.","Most meet That first we come to words, and therefore have we Our written purposes before us sent, Which, if thou hast considered, let us know If ’twill tie up thy discontented sword And carry back to Sicily much tall youth That else must perish here."
82,Why did Cassius conspire against Caesar?,What was ’t That moved pale Cassius to conspire?
83,Take your time.,Take your time.
84,"Pompey, you cannot frighten us with your navy.","Thou canst not fear us, Pompey, with thy sails."
85,We’ll meet you at sea.,We’ll speak with thee at sea.
86,"Yes, on land you do outnumber me.","At land, thou know’st How much we do o’ercount thee."
87,Even more since you annexed my father’s house and lands.,"At land indeed Thou dost o’ercount me of my father’s house, But since the cuckoo builds not for himself, Remain in ’t as thou mayst."
88,"But since,  To get back to the matter at hand, what do you think of our proposal?",Be pleased to tell us— For this is from the present—how you take The offers we have sent you.
89,That’s the point.,There’s the point.
90,"Don’t let us talk you into anything, but consider carefully the value of our offers.","Which do not be entreated to, but weigh What it is worth embraced."
91,You have offered me the lands of Sicily and Sardinia.,"You have made me offer Of Sicily, Sardinia."
92,"In return, I must clear the sea of pirates and send tributes of wheat to Rome.","And I must Rid all the sea of pirates, then, to send Measures of wheat to Rome."
93,"If I agree to this, we may leave unharmed, with our shields undented.",This ’greed upon To part with unhacked edges and bear back Our targes undinted.
94,That’s our offer.,That’s our offer.
95,You should know that when I came here I was prepared to accept your offer.,"Know then I came before you here a man prepared To take this offer, but Mark Antony Put me to some impatience."
96,Let me shake your hand.,Let me have your hand.
97,I didn’t think I would see you here.,"I did not think, sir, to have met you here."
98,The East is very seductive.,"The beds i’ th’ East are soft, and thanks to you, That called me timelier than my purpose hither, For I have gained by ’t."
99,"Well, I cannot tell how my difficult life has weathered my face, but I will never let those difficulties subdue my courage.","Well, I know not What counts harsh Fortune casts upon my face, But in my bosom shall she never come To make my heart her vassal."
100,It’s good we had this meeting.,Well met here.
101,"I hope it works out for the best, Lepidus.","I hope so, Lepidus."
102,So we are in agreement.,Thus we are agreed.
103,That’s the next thing on the agenda.,That’s the next to do.
104,We’ll have celebration feasts for each other before we go our separate ways.,"We’ll feast each other ere we part, and let’s Draw lots who shall begin."
105,"I’ll give the first one, Pompey.","That will I, Pompey."
106,"No, Antony.","No, Antony, take the lot."
107,"Whether your banquet is first or last, your Egyptian cooking will make it the best.","But, first or last, Your fine Egyptian cookery shall have The fame."
108,I heard that Julius Caesar got fat from all the feasting there.,I have heard that Julius Caesar Grew fat with feasting there.
109,You’ve heard a lot.,You have heard much.
110,"I mean well, sir.","I have fair meanings, sir."
111,I’m sure you do.,And fair words to them.
112,I’ve heard a lot more.,Then so much have I heard.
113,"I heard that Apollodorus carried—   What did he carry, please?","And I have heard Apollodorus carried—                                                                               What, I pray you?"
114,"How are you, soldier?","How far’st thou, soldier?"
115,"I’m well, and probably will be for a while, as I hear that four feasts are being prepared.","Well, And well am like to do, for I perceive, Four feasts are toward."
116,Let me shake your hand.,Let me shake thy hand.
117,I’ve never been your enemy.,I never hated thee.
118,I’ve seen you fight and envied your skill.,I have seen thee fight When I have envied thy behavior.
119,"Sir, I wouldn’t say I was your friend, but I’ve praised you when you deserved ten times more praise than I gave.","Sir, I never loved you much, but I ha’ praised ye When you have well deserved ten times as much As I have said you did."
120,Enjoy your frankness; it suits you.,Enjoy thy plainness.
121,I invite you all aboard my ship.,It nothing ill becomes thee.— Aboard my galley I invite you all.
122,"After you, my lords?","Will you lead, lords?"
123,"Show us the way, sir.","Show ’s the way, sir."
124,Come with me.,Come.
125,I think it was at sea.,"At sea, I think."
126,"That it was, sir.","We have, sir."
127,You’ve done well at sea.,You have done well by water.
128,And you’ve done well on land.,And you by land.
129,I’ll flatter anyone who flatters me—though what I’ve accomplished on land cannot be denied.,"I will praise any man that will praise me, though it cannot be denied what I have done by land."
